,Company,Company LinkedIn,Company Location (State),Employee Size,Industry,Phone,Revenue,Website
224,ALLIED WIRE & CABLE,,,200,electrical/electronic manufacturing,,75000000,http://www.awcwire.com
237,ALPHA IMAGING,,,51-200,Medical Equipment Manufacturing,,98.9M,http://www.alpha-imaging.com
239,ALPHA SOURCE GROUP,,Wisconsin,360,medical devices,,62000000,alphasourcegroup.com
243,"ALPHA SOURCE, INC.",,,201-500,Medical Equipment Manufacturing,,39.1M,http://www.alphasource.com
255,ALTERED STATE,,,1600,Retail,,250000000,http://www.altardstate.com
257,ALTRON AUTOMATION,,,88,Industrial Machinery Manufacturing,,64684000,altronautomation.com
261,AM GENERAL,,Indiana,960,Defense & Space,,230000000,amgeneral.com
265,AMBE ENGINEERING LLC,,Michigan,110,Automotive,,42200000,ambeeng.com
267,AMERCAREROYAL,,,"501-1,000",Manufacturing,,450M,https://amercareroyal.com/
269,AMEREX,,,240,Business Supplies & Equipment,,82400000,http://www.amerex-fire.com
273,AMERHART LTD,,,201-500,Building Materials,,65.5M,http://www.amerhart.com
275,AMERICAN BATTERY SOLUTIONS,,,51-200,"Appliances, Electrical, and Electronics Manufacturing",,59.8M,http://www.americanbatterysolutions.com
277,AMERICAN BATTERY SOLUTIONS INC.,,,140,"Appliances, Electrical, and Electronics Manufacturing",,59800000,americanbatterysolutions.com
279,AMERICAN CRANE AND EQUIPMENT,,,51-200,Machinery Manufacturing,,$31.9M,http://www.americancrane.com
282,AMERICAN EAGLE PAPER MILLS,,,201-500,Paper and Forest Product Manufacturing,,40M,http://www.aepaper.com
